Acronym
AKIA[5]
AYAK[6]
FGRN[7]
GTKRWN[8]
HFFH[9]
HSN[10]
ITSUB[11]
KABARK[12]
KIGY[13]
KLASP[14]
LOTIE[15]
OFOF[16]
ORION[17]
RAHOWA[18]
ROA[19]
SS[20]
SWP[21]
WP[22]
WPWW[23]
ZOG[24]
